# baseline-retained=72
# retained=44
# status	wave	module
retain	boot	FatPkg/EnhancedFatDxe/Fat
retain	storage	MdeModulePkg/Bus/Ata/AtaAtapiPassThru/AtaAtapiPassThru
retain	storage	MdeModulePkg/Bus/Ata/AtaBusDxe/AtaBusDxe
retain	console	MdeModulePkg/Bus/Isa/Ps2MouseDxe/Ps2MouseDxe
retain	usb	MdeModulePkg/Bus/Pci/EhciDxe/EhciDxe
retain	storage	MdeModulePkg/Bus/Pci/NvmExpressDxe/NvmExpressDxe
retain	pci	MdeModulePkg/Bus/Pci/PciBusDxe/PciBusDxe
retain	pci	MdeModulePkg/Bus/Pci/PciHostBridgeDxe/PciHostBridgeDxe
retain	storage	MdeModulePkg/Bus/Pci/SataControllerDxe/SataControllerDxe
retain	storage	MdeModulePkg/Bus/Pci/SdMmcPciHcDxe/SdMmcPciHcDxe
retain	usb	MdeModulePkg/Bus/Pci/UhciDxe/UhciDxe
retain	usb	MdeModulePkg/Bus/Pci/XhciDxe/XhciDxe
retain	storage	MdeModulePkg/Bus/Scsi/ScsiBusDxe/ScsiBusDxe
retain	storage	MdeModulePkg/Bus/Scsi/ScsiDiskDxe/ScsiDiskDxe
retain	storage	MdeModulePkg/Bus/Sd/EmmcDxe/EmmcDxe
retain	storage	MdeModulePkg/Bus/Sd/SdDxe/SdDxe
retain	usb	MdeModulePkg/Bus/Usb/UsbBusDxe/UsbBusDxe
retain	usb	MdeModulePkg/Bus/Usb/UsbKbDxe/UsbKbDxe
retain	usb	MdeModulePkg/Bus/Usb/UsbMassStorageDxe/UsbMassStorageDxe
retain	usb	MdeModulePkg/Bus/Usb/UsbMouseDxe/UsbMouseDxe
retain	foundation	MdeModulePkg/Core/Dxe/DxeMain
retain	smm	MdeModulePkg/Core/PiSmmCore/PiSmmCore
retain	smm	MdeModulePkg/Core/PiSmmCore/PiSmmIpl
retain	runtime	MdeModulePkg/Core/RuntimeDxe/RuntimeDxe
retain	platform	MdeModulePkg/Universal/Acpi/AcpiTableDxe/AcpiTableDxe
retain	boot	MdeModulePkg/Universal/BdsDxe/BdsDxe
native	update	MdeModulePkg/Universal/CapsuleRuntimeDxe/CapsuleRuntimeDxe
retain	console	MdeModulePkg/Universal/Console/ConPlatformDxe/ConPlatformDxe
retain	console	MdeModulePkg/Universal/Console/ConSplitterDxe/ConSplitterDxe
native	console	MdeModulePkg/Universal/Console/GraphicsConsoleDxe/GraphicsConsoleDxe
retain	console	MdeModulePkg/Universal/Console/TerminalDxe/TerminalDxe
retain	foundation	MdeModulePkg/Universal/DevicePathDxe/DevicePathDxe
native	storage	MdeModulePkg/Universal/Disk/DiskIoDxe/DiskIoDxe
retain	storage	MdeModulePkg/Universal/Disk/PartitionDxe/PartitionDxe
native	storage	MdeModulePkg/Universal/Disk/UnicodeCollation/EnglishDxe/EnglishDxe
remove	remove	MdeModulePkg/Universal/EbcDxe/EbcDxe
native	update	MdeModulePkg/Universal/EsrtDxe/EsrtDxe
retain	variables	MdeModulePkg/Universal/FaultTolerantWriteDxe/FaultTolerantWriteDxe
retain	ui	MdeModulePkg/Universal/HiiDatabaseDxe/HiiDatabaseDxe
native	boot	MdeModulePkg/Universal/MemoryTest/NullMemoryTestDxe/NullMemoryTestDxe
native	foundation	MdeModulePkg/Universal/Metronome/Metronome
native	runtime	MdeModulePkg/Universal/MonotonicCounterRuntimeDxe/MonotonicCounterRuntimeDxe
native	remove	MdeModulePkg/Universal/PCD/Dxe/Pcd
remove	remove	MdeModulePkg/Universal/PlatformDriOverrideDxe/PlatformDriOverrideDxe
native	debug	MdeModulePkg/Universal/ReportStatusCodeRouter/RuntimeDxe/ReportStatusCodeRouterRuntimeDxe
native	runtime	MdeModulePkg/Universal/ResetSystemRuntimeDxe/ResetSystemRuntimeDxe
native	security	MdeModulePkg/Universal/SecurityStubDxe/SecurityStubDxe
native	console	MdeModulePkg/Universal/SerialDxe/SerialDxe
native	platform	MdeModulePkg/Universal/SmbiosDxe/SmbiosDxe
native	debug	MdeModulePkg/Universal/StatusCodeHandler/RuntimeDxe/StatusCodeHandlerRuntimeDxe
retain	variables	MdeModulePkg/Universal/Variable/RuntimeDxe/VariableRuntimeDxe
native	runtime	MdeModulePkg/Universal/WatchdogTimerDxe/WatchdogTimer
native	platform	OvmfPkg/LocalApicTimerDxe/LocalApicTimerDxe
retain	console	OvmfPkg/SioBusDxe/SioBusDxe
native	runtime	PcAtChipsetPkg/PcatRealTimeClockRuntimeDxe/PcatRealTimeClockRuntimeDxe
native	security	SecurityPkg/Tcg/Tcg2Dxe/Tcg2Dxe
remove	remove	SecurityPkg/Tcg/TcgDxe/TcgDxe
retain	boot	ShellPkg/Application/Shell/Shell
retain	platform	UefiCpuPkg/CpuDxe/CpuDxe
native	pci	UefiCpuPkg/CpuIo2Dxe/CpuIo2Dxe
native	smm	UefiCpuPkg/CpuIo2Smm/CpuIo2Smm
retain	smm	UefiCpuPkg/PiSmmCpuDxeSmm/PiSmmCpuDxeSmm
retain	platform	UefiPayloadPkg/BlSupportDxe/BlSupportDxe
retain	smm	UefiPayloadPkg/BlSupportSmm/BlSupportSmm
retain	platform	UefiPayloadPkg/EcAcpiBatteryStatusDxe/EcAcpiBatteryStatusDxe
retain	console	UefiPayloadPkg/GraphicsOutputDxe/GraphicsOutputDxe
native	smm	UefiPayloadPkg/PchSmiDispatchSmm/PchSmiDispatchSmm
native	smm	UefiPayloadPkg/SmmAccessDxe/SmmAccessDxe
native	smm	UefiPayloadPkg/SmmControlRuntimeDxe/SmmControlRuntimeDxe
retain	variables	UefiPayloadPkg/SmmStoreFvb/SmmStoreFvbRuntimeDxe
native	security	UefiPayloadPkg/Tpm2AcpiTableDxe/Tpm2AcpiTableDxe
retain	foundation	UefiPayloadPkg/cdk2/backend/edk2/entry/UefiPayloadEntry
