# Retained-module hardware-readiness classification.
# Keep this file in exact lockstep with entries marked retain in retained-fv.tsv.
# class	module
subsystem-sized	FatPkg/EnhancedFatDxe/Fat
hardware-gated	MdeModulePkg/Bus/Ata/AtaAtapiPassThru/AtaAtapiPassThru
hardware-gated	MdeModulePkg/Bus/Ata/AtaBusDxe/AtaBusDxe
hardware-gated	MdeModulePkg/Bus/Isa/Ps2MouseDxe/Ps2MouseDxe
hardware-gated	MdeModulePkg/Bus/Pci/EhciDxe/EhciDxe
hardware-gated	MdeModulePkg/Bus/Pci/NvmExpressDxe/NvmExpressDxe
hardware-gated	MdeModulePkg/Bus/Pci/PciBusDxe/PciBusDxe
hardware-gated	MdeModulePkg/Bus/Pci/PciHostBridgeDxe/PciHostBridgeDxe
hardware-gated	MdeModulePkg/Bus/Pci/SataControllerDxe/SataControllerDxe
hardware-gated	MdeModulePkg/Bus/Pci/SdMmcPciHcDxe/SdMmcPciHcDxe
hardware-gated	MdeModulePkg/Bus/Pci/UhciDxe/UhciDxe
hardware-gated	MdeModulePkg/Bus/Pci/XhciDxe/XhciDxe
subsystem-sized	MdeModulePkg/Bus/Scsi/ScsiBusDxe/ScsiBusDxe
subsystem-sized	MdeModulePkg/Bus/Scsi/ScsiDiskDxe/ScsiDiskDxe
hardware-gated	MdeModulePkg/Bus/Sd/EmmcDxe/EmmcDxe
hardware-gated	MdeModulePkg/Bus/Sd/SdDxe/SdDxe
subsystem-sized	MdeModulePkg/Bus/Usb/UsbBusDxe/UsbBusDxe
subsystem-sized	MdeModulePkg/Bus/Usb/UsbKbDxe/UsbKbDxe
subsystem-sized	MdeModulePkg/Bus/Usb/UsbMassStorageDxe/UsbMassStorageDxe
subsystem-sized	MdeModulePkg/Bus/Usb/UsbMouseDxe/UsbMouseDxe
unsafe-standalone	MdeModulePkg/Core/Dxe/DxeMain
unsafe-standalone	MdeModulePkg/Core/PiSmmCore/PiSmmCore
unsafe-standalone	MdeModulePkg/Core/PiSmmCore/PiSmmIpl
unsafe-standalone	MdeModulePkg/Core/RuntimeDxe/RuntimeDxe
hardware-gated	MdeModulePkg/Universal/Acpi/AcpiTableDxe/AcpiTableDxe
subsystem-sized	MdeModulePkg/Universal/BdsDxe/BdsDxe
subsystem-sized	MdeModulePkg/Universal/Console/ConPlatformDxe/ConPlatformDxe
subsystem-sized	MdeModulePkg/Universal/Console/ConSplitterDxe/ConSplitterDxe
subsystem-sized	MdeModulePkg/Universal/Console/TerminalDxe/TerminalDxe
subsystem-sized	MdeModulePkg/Universal/Disk/PartitionDxe/PartitionDxe
subsystem-sized	MdeModulePkg/Universal/FaultTolerantWriteDxe/FaultTolerantWriteDxe
subsystem-sized	MdeModulePkg/Universal/HiiDatabaseDxe/HiiDatabaseDxe
subsystem-sized	MdeModulePkg/Universal/Variable/RuntimeDxe/VariableRuntimeDxe
hardware-gated	OvmfPkg/SioBusDxe/SioBusDxe
subsystem-sized	ShellPkg/Application/Shell/Shell
hardware-gated	UefiCpuPkg/CpuDxe/CpuDxe
hardware-gated	UefiCpuPkg/PiSmmCpuDxeSmm/PiSmmCpuDxeSmm
unsafe-standalone	UefiPayloadPkg/BlSupportDxe/BlSupportDxe
hardware-gated	UefiPayloadPkg/BlSupportSmm/BlSupportSmm
hardware-gated	UefiPayloadPkg/EcAcpiBatteryStatusDxe/EcAcpiBatteryStatusDxe
hardware-gated	UefiPayloadPkg/GraphicsOutputDxe/GraphicsOutputDxe
hardware-gated	UefiPayloadPkg/SmmStoreFvb/SmmStoreFvbRuntimeDxe
unsafe-standalone	UefiPayloadPkg/cdk2/backend/edk2/entry/UefiPayloadEntry
